item	format	bytes
agent_plan	json_min	794
agent_plan	json_pretty	1526
agent_plan	yaml	866
agent_plan	md	773
agent_plan	tsv	781
agent_plan	toon	884
api_response	json_min	208
api_response	json_pretty	307
api_response	yaml	187
api_response	md	245
api_response	tsv	185
api_response	toon	187
config	json_min	286
config	json_pretty	414
config	yaml	274
config	md	335
config	tsv	259
config	toon	277
note	json_min	616
note	json_pretty	708
note	yaml	611
note	md	631
note	tsv	597
note	toon	617
orders	json_min	1743
orders	json_pretty	3795
orders	yaml	1979
orders	md	1202
orders	tsv	867
orders	toon	911
