# orders
id	sku	qty	price	status	ts
1001	BOLT-M8	50	9.99	shipped	1786900001
1002	NUT-M8	200	4.5	shipped	1786900102
1003	WASHER-8	500	1.25	pending	1786900203
1004	BOLT-M10	25	14.75	shipped	1786900304
1005	SCREW-4x40	1000	0.35	cancelled	1786900405
1006	ANCHOR-6	300	2.1	pending	1786900506
1007	BOLT-M8	75	9.99	shipped	1786900607
1008	PLATE-120	12	45	shipped	1786900708
1009	NUT-M10	150	6.8	pending	1786900809
1010	ROD-M8-1M	40	22.5	shipped	1786900910
1011	BOLT-M6	600	5.4	shipped	1786901011
1012	CLIP-22	80	3.15	returned	1786901112
1013	WASHER-10	450	1.6	pending	1786901213
1014	SCREW-5x60	700	0.55	shipped	1786901314
1015	HINGE-90	30	18.25	shipped	1786901415
1016	BOLT-M12	20	21	pending	1786901516
1017	NUT-M6	900	2.95	shipped	1786901617
1018	BRACKET-L	60	12.4	cancelled	1786901718
1019	ROD-M10-1M	35	31.9	shipped	1786901819
1020	PIN-3x30	1200	0.18	pending	1786901920
