item	kind	bytes	raw_tokens	cal
agent_plan.json_min	render	794	272	4
agent_plan.json_pretty	render	1526	405	4
agent_plan.md	render	773	279	4
agent_plan.toon	render	884	309	4
agent_plan.tsv	render	781	271	4
agent_plan.yaml	render	866	303	4
api_response.json_min	render	208	77	4
api_response.json_pretty	render	307	113	4
api_response.md	render	245	100	4
api_response.toon	render	187	82	4
api_response.tsv	render	185	76	4
api_response.yaml	render	187	82	4
config.json_min	render	286	101	4
config.json_pretty	render	414	144	4
config.md	render	335	128	4
config.toon	render	277	112	4
config.tsv	render	259	99	4
config.yaml	render	274	110	4
note.json_min	render	622	156	4
note.json_pretty	render	714	184	4
note.md	render	637	163	4
note.toon	render	623	163	4
note.tsv	render	603	152	4
note.yaml	render	617	159	4
orders.json_min	render	1743	725	4
orders.json_pretty	render	3795	1169	4
orders.md	render	1202	575	4
orders.toon	render	911	484	4
orders.tsv	render	867	469	4
orders.yaml	render	1979	946	4
b64_base64	probe	2040	1228	4
b64_hex	probe	3000	1420	4
b64_plain	probe	1512	364	4
dict_full	probe	816	340	4
dict_ref	probe	578	328	4
ind_2sp	probe	312	124	4
ind_4sp	probe	360	124	4
ind_none	probe	264	100	4
ind_tab	probe	288	124	4
key_eq	probe	1608	724	4
key_json	probe	2040	868	4
key_none	probe	960	508	4
key_yaml	probe	1752	916	4
num_decimal	probe	504	388	4
num_iso	probe	624	412	4
num_short	probe	216	196	4
num_unix	probe	264	124	4
num_uuid	probe	888	820	4
sep_comma	probe	864	292	4
sep_newline	probe	864	292	4
sep_pipe	probe	864	292	4
sep_space	probe	864	196	4
sep_tab	probe	864	292	4
sigil_at	probe	240	76	4
sigil_bang	probe	240	76	4
sigil_caret	probe	240	76	4
sigil_dslash	probe	264	76	4
sigil_gt	probe	240	76	4
sigil_hash	probe	240	76	4
sigil_pct	probe	240	76	4
sigil_pipe	probe	240	76	4
sigil_semi	probe	240	76	4
sigil_tilde	probe	240	76	4
