item	kind	bytes	raw_tokens	cal
agent_plan.json_min	render	794	278	13
agent_plan.json_pretty	render	1526	467	13
agent_plan.md	render	773	292	13
agent_plan.toon	render	884	341	13
agent_plan.tsv	render	781	278	13
agent_plan.yaml	render	866	333	13
api_response.json_min	render	208	101	13
api_response.json_pretty	render	307	151	13
api_response.md	render	245	124	13
api_response.toon	render	187	108	13
api_response.tsv	render	185	101	13
api_response.yaml	render	187	108	13
config.json_min	render	286	118	13
config.json_pretty	render	414	182	13
config.md	render	335	148	13
config.toon	render	277	134	13
config.tsv	render	259	120	13
config.yaml	render	274	132	13
note.json_min	render	622	165	13
note.json_pretty	render	714	209	13
note.md	render	637	179	13
note.toon	render	623	181	13
note.tsv	render	603	167	13
note.yaml	render	617	177	13
orders.json_min	render	1743	921	13
orders.json_pretty	render	3795	1510	13
orders.md	render	1202	817	13
orders.toon	render	911	715	13
orders.tsv	render	867	692	13
orders.yaml	render	1979	1129	13
b64_base64	probe	2040	1308	13
b64_hex	probe	3000	3012	13
b64_plain	probe	1512	396	13
dict_full	probe	816	396	13
dict_ref	probe	578	408	13
ind_2sp	probe	312	131	13
ind_4sp	probe	360	131	13
ind_none	probe	264	108	13
ind_tab	probe	288	131	13
key_eq	probe	1608	972	13
key_json	probe	2040	1140	13
key_none	probe	960	804	13
key_yaml	probe	1752	1164	13
num_decimal	probe	504	516	13
num_iso	probe	624	636	13
num_short	probe	216	228	13
num_unix	probe	264	276	13
num_uuid	probe	888	900	13
sep_comma	probe	864	300	13
sep_newline	probe	864	300	13
sep_pipe	probe	864	300	13
sep_space	probe	864	180	13
sep_tab	probe	864	300	13
sigil_at	probe	240	84	13
sigil_bang	probe	240	84	13
sigil_caret	probe	240	84	13
sigil_dslash	probe	264	84	13
sigil_gt	probe	240	84	13
sigil_hash	probe	240	84	13
sigil_pct	probe	240	84	13
sigil_pipe	probe	240	84	13
sigil_semi	probe	240	84	13
sigil_tilde	probe	240	84	13
