item	kind	bytes	raw_tokens	cal
agent_plan.json_min	render	794	275	-1
agent_plan.json_pretty	render	1526	405	-1
agent_plan.md	render	773	280	-1
agent_plan.toon	render	884	312	-1
agent_plan.tsv	render	781	272	-1
agent_plan.yaml	render	866	307	-1
api_response.json_min	render	208	94	-1
api_response.json_pretty	render	307	130	-1
api_response.md	render	245	117	-1
api_response.toon	render	187	99	-1
api_response.tsv	render	185	93	-1
api_response.yaml	render	187	99	-1
config.json_min	render	286	106	-1
config.json_pretty	render	414	149	-1
config.md	render	335	133	-1
config.toon	render	277	118	-1
config.tsv	render	259	104	-1
config.yaml	render	274	116	-1
note.json_min	render	622	162	-1
note.json_pretty	render	714	188	-1
note.md	render	637	168	-1
note.toon	render	623	168	-1
note.tsv	render	603	157	-1
note.yaml	render	617	164	-1
orders.json_min	render	1743	936	-1
orders.json_pretty	render	3795	1361	-1
orders.md	render	1202	791	-1
orders.toon	render	911	725	-1
orders.tsv	render	867	685	-1
orders.yaml	render	1979	1124	-1
b64_base64	probe	2040	1563	-1
b64_hex	probe	3000	3003	-1
b64_plain	probe	1512	363	-1
dict_full	probe	816	387	-1
dict_ref	probe	578	399	-1
ind_2sp	probe	312	123	-1
ind_4sp	probe	360	123	-1
ind_none	probe	264	99	-1
ind_tab	probe	288	99	-1
key_eq	probe	1608	939	-1
key_json	probe	2040	1107	-1
key_none	probe	960	771	-1
key_yaml	probe	1752	1155	-1
num_decimal	probe	504	507	-1
num_iso	probe	624	627	-1
num_short	probe	216	219	-1
num_unix	probe	264	267	-1
num_uuid	probe	888	891	-1
sep_comma	probe	864	291	-1
sep_newline	probe	864	291	-1
sep_pipe	probe	864	291	-1
sep_space	probe	864	171	-1
sep_tab	probe	864	291	-1
sigil_at	probe	240	75	-1
sigil_bang	probe	240	75	-1
sigil_caret	probe	240	75	-1
sigil_dslash	probe	264	75	-1
sigil_gt	probe	240	75	-1
sigil_hash	probe	240	75	-1
sigil_pct	probe	240	75	-1
sigil_pipe	probe	240	75	-1
sigil_semi	probe	240	75	-1
sigil_tilde	probe	240	75	-1
