item	kind	bytes	raw_tokens	cal
agent_plan.json_min	render	794	262	10
agent_plan.json_pretty	render	1526	452	10
agent_plan.md	render	773	277	10
agent_plan.toon	render	884	324	10
agent_plan.tsv	render	781	262	10
agent_plan.yaml	render	866	316	10
api_response.json_min	render	208	96	10
api_response.json_pretty	render	307	148	10
api_response.md	render	245	119	10
api_response.toon	render	187	103	10
api_response.tsv	render	185	97	10
api_response.yaml	render	187	103	10
config.json_min	render	286	103	10
config.json_pretty	render	414	167	10
config.md	render	335	133	10
config.toon	render	277	118	10
config.tsv	render	259	104	10
config.yaml	render	274	116	10
note.json_min	render	616	155	10
note.json_pretty	render	708	200	10
note.md	render	631	169	10
note.toon	render	617	171	10
note.tsv	render	597	156	10
note.yaml	render	611	167	10
orders.json_min	render	1743	914	10
orders.json_pretty	render	3795	1502	10
orders.md	render	1202	807	10
orders.toon	render	911	718	10
orders.tsv	render	867	658	10
orders.yaml	render	1979	1119	10
b64_base64	probe	2136	1521	10
b64_hex	probe	3144	3153	10
b64_plain	probe	1584	369	10
dict_full	probe	816	393	10
dict_ref	probe	578	404	10
ind_2sp	probe	312	128	10
ind_4sp	probe	360	128	10
ind_none	probe	264	105	10
ind_tab	probe	288	105	10
key_eq	probe	1608	945	10
key_json	probe	2040	1137	10
key_none	probe	960	777	10
key_yaml	probe	1752	1161	10
num_decimal	probe	504	513	10
num_iso	probe	624	633	10
num_short	probe	216	225	10
num_unix	probe	264	273	10
num_uuid	probe	888	897	10
sep_comma	probe	864	297	10
sep_newline	probe	864	321	10
sep_pipe	probe	864	321	10
sep_space	probe	864	201	10
sep_tab	probe	864	273	10
sigil_at	probe	240	81	10
sigil_bang	probe	240	81	10
sigil_caret	probe	240	81	10
sigil_dslash	probe	264	81	10
sigil_gt	probe	240	81	10
sigil_hash	probe	240	81	10
sigil_pct	probe	240	81	10
sigil_pipe	probe	240	81	10
sigil_semi	probe	240	81	10
sigil_tilde	probe	240	81	10
