item	kind	bytes	raw_tokens	cal
agent_plan.json_min	render	794	249	7
agent_plan.json_pretty	render	1526	386	7
agent_plan.md	render	773	264	7
agent_plan.toon	render	884	296	7
agent_plan.tsv	render	781	247	7
agent_plan.yaml	render	866	290	7
api_response.json_min	render	208	76	7
api_response.json_pretty	render	307	112	7
api_response.md	render	245	109	7
api_response.toon	render	187	80	7
api_response.tsv	render	185	73	7
api_response.yaml	render	187	80	7
config.json_min	render	286	93	7
config.json_pretty	render	414	138	7
config.md	render	335	134	7
config.toon	render	277	106	7
config.tsv	render	259	92	7
config.yaml	render	274	104	7
note.json_min	render	622	153	7
note.json_pretty	render	714	182	7
note.md	render	637	167	7
note.toon	render	623	163	7
note.tsv	render	603	150	7
note.yaml	render	617	159	7
orders.json_min	render	1743	697	7
orders.json_pretty	render	3795	1141	7
orders.md	render	1202	570	7
orders.toon	render	911	498	7
orders.tsv	render	867	441	7
orders.yaml	render	1979	903	7
b64_base64	probe	2040	1207	7
b64_hex	probe	3000	1423	7
b64_plain	probe	1512	367	7
dict_full	probe	816	319	7
dict_ref	probe	578	330	7
ind_2sp	probe	312	127	7
ind_4sp	probe	360	127	7
ind_none	probe	264	103	7
ind_tab	probe	288	103	7
key_eq	probe	1608	679	7
key_json	probe	2040	847	7
key_none	probe	960	511	7
key_yaml	probe	1752	895	7
num_decimal	probe	504	391	7
num_iso	probe	624	415	7
num_short	probe	216	199	7
num_unix	probe	264	127	7
num_uuid	probe	888	823	7
sep_comma	probe	864	295	7
sep_newline	probe	864	319	7
sep_pipe	probe	864	319	7
sep_space	probe	864	199	7
sep_tab	probe	864	295	7
sigil_at	probe	240	79	7
sigil_bang	probe	240	79	7
sigil_caret	probe	240	79	7
sigil_dslash	probe	264	79	7
sigil_gt	probe	240	79	7
sigil_hash	probe	240	79	7
sigil_pct	probe	240	79	7
sigil_pipe	probe	240	79	7
sigil_semi	probe	240	79	7
sigil_tilde	probe	240	79	7
